seed,rmse,mae,nasa
42,19.227989394938696,15.366744995117188,79583.72
101,19.031314943700767,15.026461601257324,77617.266
2024,18.528724433980624,14.70837116241455,64873.023
7,18.531022737856038,14.381613731384277,84495.39
88,18.245204347703346,14.399323463439941,67188.54
123,18.092150997998413,13.893885612487793,83587.36
999,18.302038127197065,14.395236015319824,61790.46
314,19.105376504454266,14.757107734680176,111348.516
500,20.08009018835962,15.964829444885254,68512.4
13,18.806651882493515,14.650915145874023,87889.49
