seed,rmse,mae,nasa
42,16.535853417413552,12.243073463439941,66016.664
101,15.64373047263938,11.767718315124512,47448.383
2024,15.665001530456955,11.285388946533203,54708.973
7,16.862325245804996,12.664923667907715,67282.45
88,15.41133847651447,11.519864082336426,44072.52
123,15.682315775298362,11.637578010559082,47406.367
999,17.023683095406014,12.208115577697754,78230.22
314,15.745674629283116,11.730423927307129,47281.625
500,16.57449079511004,12.091232299804688,66111.82
13,16.19025977922374,12.350711822509766,51038.195
